"time","open","high","low","close","volume"
2016-01-04,4.53,4.58,4.39,4.48,565140
2016-01-05,4.48,4.48,4.39,4.48,199480
2016-01-06,4.48,4.48,4.39,4.44,207470
2016-01-07,4.39,4.39,4.2,4.29,450650
2016-01-08,4.2,4.29,4.15,4.15,546490
2016-01-11,4.15,4.2,4.05,4.05,276240
2016-01-12,4.05,4.24,4.05,4.24,359480
2016-01-13,4.24,4.29,4.15,4.2,259160
2016-01-14,4.15,4.15,3.95,4.05,322110
2016-01-15,4.05,4.05,3.86,3.86,421960
2016-01-18,3.71,3.76,3.62,3.66,782670
2016-01-19,3.76,3.81,3.66,3.76,576630
2016-01-20,3.76,3.76,3.62,3.66,223530
2016-01-21,3.62,3.66,3.47,3.47,351350
2016-01-22,3.47,3.71,3.47,3.71,1051880
2016-01-25,3.81,3.95,3.81,3.95,482750
2016-01-26,3.86,3.95,3.76,3.91,394280
2016-01-27,3.91,4.05,3.91,4,321850
2016-01-28,3.95,4,3.86,3.91,306060
2016-01-29,3.91,3.95,3.86,3.91,276880
2016-02-01,3.95,4.15,3.95,4,340940
2016-02-02,3.95,4.05,3.95,4,221890
2016-02-03,3.95,4,3.91,3.95,172780
2016-02-04,4,4.05,3.95,4,131360
2016-02-05,3.95,4.05,3.91,3.95,222140
2016-02-15,3.95,4,3.91,3.95,170630
2016-02-16,4.05,4.15,4,4,1440430
2016-02-17,4,4.1,3.95,3.95,559450
2016-02-18,4,4,3.95,3.95,252280
2016-02-19,3.95,4,3.91,3.91,667480
2016-02-22,3.91,4,3.91,4,680200
2016-02-23,4,4.05,3.91,3.91,545540
2016-02-24,3.86,3.95,3.86,3.91,259800
2016-02-25,3.91,3.95,3.81,3.81,299840
2016-02-26,3.81,3.86,3.81,3.81,215150
2016-02-29,3.81,3.86,3.71,3.76,207500
2016-03-01,3.76,3.81,3.71,3.76,195900
2016-03-02,3.81,3.86,3.76,3.76,281400
2016-03-03,3.81,3.81,3.66,3.66,167380
2016-03-04,3.66,3.76,3.66,3.66,194770
2016-03-07,3.66,3.76,3.66,3.71,376360
2016-03-08,3.76,3.76,3.71,3.71,115760
2016-03-09,3.71,3.95,3.71,3.86,1031090
2016-03-10,3.86,3.91,3.81,3.91,207280
2016-03-11,3.86,3.91,3.81,3.86,256210
2016-03-14,3.86,3.91,3.76,3.81,369310
2016-03-15,3.81,3.86,3.76,3.76,312960
2016-03-16,3.76,3.86,3.76,3.76,237030
2016-03-17,3.81,3.86,3.76,3.76,433670
2016-03-18,3.81,3.81,3.71,3.76,338070
2016-03-21,3.81,3.81,3.71,3.71,238680
2016-03-22,3.71,3.71,3.62,3.66,491430
2016-03-23,3.71,3.71,3.62,3.66,701570
2016-03-24,3.71,3.76,3.66,3.71,539750
2016-03-25,3.66,3.71,3.62,3.66,188800
2016-03-28,3.66,3.71,3.62,3.66,314600
2016-03-29,3.66,3.66,3.52,3.57,490940
2016-03-30,3.57,3.62,3.47,3.57,455200
2016-03-31,3.57,3.62,3.47,3.47,426620
2016-04-01,3.47,3.52,3.38,3.42,339420
2016-04-04,3.42,3.62,3.42,3.62,815920
2016-04-05,3.62,3.66,3.57,3.57,176770
2016-04-06,3.62,3.62,3.52,3.57,168900
2016-04-07,3.62,3.66,3.57,3.62,356070
2016-04-08,3.62,3.66,3.57,3.66,421530
